Age,Income,Home_Status,Employment_Length,Loan_Intent,Loan_Grade,Loan_Amount,Interest_Rate,Loan_Status,Loan_Income_Percent,Historical_Default,Credit_History
30,28000,RENT,5.0,DEBTCONSOLIDATION,C,12000,14.22,1,0.43,N,8
41,92000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,8000,9.63,0,0.09,N,13
37,84000,MORTGAGE,21.0,VENTURE,C,24000,,0,0.29,Y,17
30,42000,OWN,,MEDICAL,C,4000,15.23,0,0.1,Y,5
25,38340,RENT,9.0,MEDICAL,B,12000,11.71,1,0.31,N,2
26,40000,MORTGAGE,5.0,EDUCATION,A,7200,7.49,0,0.18,N,2
27,57600,OWN,,VENTURE,C,3000,12.99,0,0.05,Y,10
28,41000,RENT,1.0,MEDICAL,B,9000,9.88,0,0.22,N,8
44,36000,RENT,0.0,PERSONAL,B,16000,11.49,1,0.44,N,13
35,130000,RENT,17.0,EDUCATION,B,12000,10.75,0,0.09,N,6
30,30000,OWN,14.0,PERSONAL,A,5000,7.14,0,0.17,N,7
25,33600,RENT,0.0,EDUCATION,D,1000,15.57,1,0.03,Y,2
24,28000,OWN,6.0,HOMEIMPROVEMENT,B,10000,10.37,0,0.36,N,2
43,61000,MORTGAGE,3.0,DEBTCONSOLIDATION,E,16000,,1,0.26,Y,17
27,30000,RENT,3.0,MEDICAL,D,10000,17.58,1,0.33,N,6
25,48000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,4800,10.74,0,0.1,N,4
29,67000,MORTGAGE,13.0,VENTURE,A,10000,7.14,0,0.15,N,8
24,60000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,1500,12.42,0,0.03,N,2
51,120000,MORTGAGE,2.0,PERSONAL,A,30000,7.9,0,0.25,N,22
36,50000,RENT,6.0,VENTURE,C,7200,13.98,0,0.14,N,15
30,138000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,10000,10.99,1,0.07,N,10
21,40000,RENT,1.0,EDUCATION,B,6000,10.08,0,0.15,N,3
21,30000,RENT,5.0,PERSONAL,A,3500,7.9,0,0.12,N,2
53,75000,MORTGAGE,4.0,PERSONAL,A,10000,8.94,0,0.13,N,19
22,34800,RENT,0.0,MEDICAL,D,5000,15.21,1,0.14,Y,2
23,21000,OWN,2.0,VENTURE,C,6000,15.27,0,0.29,N,2
33,115000,MORTGAGE,6.0,MEDICAL,C,10500,13.49,0,0.09,N,9
36,66847,RENT,3.0,PERSONAL,D,10000,16.0,0,0.15,Y,14
31,16000,RENT,1.0,EDUCATION,C,3000,13.85,1,0.19,Y,6
25,30200,MORTGAGE,9.0,HOMEIMPROVEMENT,B,15000,10.2,0,0.5,N,2
34,90636,MORTGAGE,4.0,EDUCATION,C,17000,13.85,0,0.19,Y,5
33,150000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4000,10.37,0,0.03,N,7
25,68000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,8000,,0,0.12,N,3
33,36000,RENT,9.0,PERSONAL,A,12000,7.29,1,0.33,N,6
23,20000,RENT,6.0,PERSONAL,C,4000,12.23,0,0.2,Y,2
29,112992,MORTGAGE,13.0,DEBTCONSOLIDATION,A,8000,7.49,0,0.07,N,8
28,56496,RENT,0.0,DEBTCONSOLIDATION,C,15000,12.61,0,0.27,N,10
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2
27,24000,OWN,2.0,VENTURE,C,6000,12.53,0,0.25,N,9
20,65000,MORTGAGE,4.0,VENTURE,B,4800,9.99,0,0.07,N,4
25,20000,MORTGAGE,1.0,VENTURE,A,4000,5.79,0,0.2,N,4
26,30000,RENT,2.0,VENTURE,B,3500,,0,0.12,N,2
44,48000,RENT,4.0,MEDICAL,B,7500,11.49,0,0.16,N,15
22,78369,MORTGAGE,6.0,DEBTCONSOLIDATION,E,11000,17.99,1,0.14,N,3
42,32000,RENT,5.0,VENTURE,B,10000,10.38,1,0.31,N,15
34,57016,RENT,14.0,HOMEIMPROVEMENT,B,6000,11.83,0,0.11,N,6
23,39292,MORTGAGE,3.0,MEDICAL,A,3250,,1,0.08,N,3
34,29152,RENT,,DEBTCONSOLIDATION,B,5000,10.36,0,0.17,N,10
22,32376,RENT,1.0,EDUCATION,C,10000,13.61,1,0.31,Y,4
27,120000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8400,7.14,0,0.07,N,6
28,29000,OWN,1.0,VENTURE,C,6250,12.87,0,0.22,Y,9
24,42000,MORTGAGE,,PERSONAL,E,18250,16.82,1,0.43,Y,4
27,36000,MORTGAGE,7.0,PERSONAL,B,6000,10.25,0,0.17,N,10
22,68000,MORTGAGE,3.0,EDUCATION,B,14800,9.88,0,0.22,N,4
22,86000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,8.94,0,0.12,N,4
25,106000,RENT,4.0,PERSONAL,B,5000,,0,0.05,N,4
28,40000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,15000,5.99,0,0.38,N,9
32,66000,RENT,1.0,HOMEIMPROVEMENT,A,8000,7.29,0,0.12,N,10
24,50004,RENT,5.0,EDUCATION,A,4000,7.88,0,0.08,N,2
23,44000,MORTGAGE,,MEDICAL,A,6000,5.42,0,0.14,N,4
31,57240,MORTGAGE,1.0,EDUCATION,A,10000,5.99,0,0.17,N,6
23,75000,MORTGAGE,0.0,PERSONAL,A,5400,8.94,0,0.07,N,3
27,40000,RENT,4.0,EDUCATION,C,6125,13.23,0,0.15,Y,5
34,36000,RENT,2.0,DEBTCONSOLIDATION,A,9500,8.59,0,0.26,N,8
23,65000,MORTGAGE,2.0,EDUCATION,B,15000,10.95,0,0.23,N,3
23,45000,MORTGAGE,4.0,EDUCATION,C,8650,14.27,0,0.19,N,2
30,105000,OWN,14.0,HOMEIMPROVEMENT,B,15400,11.36,0,0.15,N,10
50,39204,RENT,4.0,VENTURE,A,10000,5.99,0,0.26,N,12
22,32000,RENT,0.0,PERSONAL,D,7875,14.91,1,0.25,N,2
26,66000,MORTGAGE,7.0,PERSONAL,B,4000,11.99,0,0.06,N,2
21,36000,RENT,3.0,HOMEIMPROVEMENT,B,11000,10.37,1,0.31,N,4
21,36450,RENT,0.0,EDUCATION,A,6000,8.63,0,0.16,N,3
37,19896,RENT,0.0,EDUCATION,E,10000,17.14,1,0.5,N,11
30,57000,MORTGAGE,1.0,VENTURE,A,4500,7.49,0,0.08,N,10
25,53000,MORTGAGE,9.0,VENTURE,A,10800,7.51,0,0.2,N,2
21,100000,RENT,1.0,DEBTCONSOLIDATION,A,7800,7.88,0,0.08,N,2
24,66500,MORTGAGE,0.0,HOMEIMPROVEMENT,A,8800,8.59,0,0.13,N,4
22,16320,RENT,0.0,DEBTCONSOLIDATION,B,5000,12.53,1,0.31,N,2
29,92000,MORTGAGE,3.0,VENTURE,B,24000,11.49,0,0.26,N,7
23,74424,RENT,4.0,EDUCATION,C,15000,13.47,0,0.2,Y,3
26,50000,RENT,10.0,PERSONAL,B,18950,,1,0.38,N,3
22,79618,MORTGAGE,6.0,EDUCATION,A,7000,7.74,0,0.09,N,3
24,18000,RENT,5.0,PERSONAL,C,3000,15.27,1,0.17,Y,2
47,65000,MORTGAGE,21.0,VENTURE,C,7000,14.35,0,0.11,N,17
38,18720,OWN,22.0,VENTURE,B,2500,11.86,0,0.13,N,15
32,61200,MORTGAGE,,HOMEIMPROVEMENT,A,15000,6.99,0,0.25,N,10
30,134000,MORTGAGE,14.0,DEBTCONSOLIDATION,A,5600,,0,0.04,N,5
23,48152,MORTGAGE,7.0,MEDICAL,A,9500,7.29,0,0.2,N,2
22,29000,RENT,4.0,DEBTCONSOLIDATION,E,6400,15.95,1,0.22,Y,4
32,65000,OWN,12.0,VENTURE,B,10000,11.99,0,0.15,N,5
36,56900,MORTGAGE,16.0,VENTURE,G,6200,,1,0.11,N,11
21,42000,RENT,0.0,DEBTCONSOLIDATION,B,10400,11.49,0,0.25,N,4
31,273655,MORTGAGE,4.0,DEBTCONSOLIDATION,A,19600,7.51,0,0.07,N,5
28,48715,RENT,2.0,DEBTCONSOLIDATION,C,12000,12.87,0,0.25,Y,5
31,59000,RENT,2.0,HOMEIMPROVEMENT,C,8750,12.68,0,0.15,N,9
29,84000,RENT,3.0,MEDICAL,B,6000,11.49,0,0.07,N,6
27,63000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,4400,5.99,0,0.07,N,8
35,77040,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5900,5.99,0,0.08,N,7
28,68004,RENT,1.0,PERSONAL,C,15000,13.16,0,0.22,N,7
22,24000,RENT,0.0,DEBTCONSOLIDATION,A,2450,7.9,0,0.1,N,2
21,93000,MORTGAGE,4.0,EDUCATION,C,9800,12.73,0,0.11,N,3
23,57850,MORTGAGE,8.0,EDUCATION,B,4000,10.99,0,0.07,N,2
24,96500,MORTGAGE,1.0,EDUCATION,E,14000,17.19,0,0.15,N,4
38,52000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15250,7.88,0,0.29,N,15
30,40000,RENT,5.0,MEDICAL,A,3000,7.14,0,0.07,N,5
22,36000,MORTGAGE,1.0,MEDICAL,A,3500,,0,0.1,N,2
27,50000,RENT,11.0,HOMEIMPROVEMENT,C,5500,12.73,1,0.11,N,7
33,14400,RENT,0.0,VENTURE,D,2100,15.21,1,0.15,Y,10
23,44400,RENT,4.0,VENTURE,D,5000,16.29,1,0.11,Y,4
42,29000,RENT,3.0,MEDICAL,A,3450,8.0,0,0.12,N,17
24,62900,MORTGAGE,8.0,MEDICAL,F,14000,17.58,1,0.19,N,4
28,28000,RENT,3.0,VENTURE,A,3000,6.91,0,0.11,N,10
27,30000,MORTGAGE,3.0,PERSONAL,C,5350,13.06,1,0.18,N,6
23,65280,OWN,4.0,MEDICAL,B,18000,10.99,0,0.28,N,4
24,32500,RENT,5.0,MEDICAL,D,4000,16.29,0,0.12,Y,3
32,73000,RENT,0.0,EDUCATION,B,22400,12.69,1,0.31,N,5
23,84996,MORTGAGE,5.0,PERSONAL,A,14000,,0,0.16,N,3
36,52000,MORTGAGE,11.0,PERSONAL,B,1500,11.36,1,0.03,N,17
25,49152,MORTGAGE,7.0,MEDICAL,B,3000,11.71,0,0.06,N,2
37,46000,RENT,4.0,EDUCATION,B,6000,11.49,0,0.13,N,13
25,108820,RENT,4.0,EDUCATION,B,15000,9.63,0,0.14,N,3
35,45000,RENT,3.0,DEBTCONSOLIDATION,C,15000,,1,0.33,N,8
30,75000,MORTGAGE,12.0,PERSONAL,A,8000,7.14,0,0.11,N,9
31,24000,RENT,0.0,EDUCATION,A,4000,6.76,0,0.17,N,9
22,33000,RENT,6.0,PERSONAL,C,6000,13.85,0,0.18,N,4
38,60000,OWN,2.0,PERSONAL,D,6000,14.96,0,0.1,N,11
28,51000,MORTGAGE,12.0,VENTURE,A,8000,7.51,0,0.16,N,5
30,77000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8000,7.14,0,0.1,N,7
24,90000,RENT,8.0,HOMEIMPROVEMENT,B,10000,,0,0.11,N,2
22,60000,RENT,4.0,PERSONAL,B,9800,,0,0.16,N,3
24,45000,RENT,1.0,EDUCATION,A,10000,6.54,0,0.22,N,3
24,75000,MORTGAGE,8.0,EDUCATION,A,5000,6.76,0,0.07,N,4
22,29553,OWN,2.0,VENTURE,A,6000,7.49,0,0.2,N,4
22,52800,MORTGAGE,6.0,PERSONAL,A,7000,6.76,0,0.13,N,2
27,13500,RENT,2.0,MEDICAL,B,8000,12.18,1,0.59,N,5
25,85000,MORTGAGE,5.0,EDUCATION,C,9600,13.85,0,0.11,N,2
22,33600,OWN,1.0,MEDICAL,D,5000,18.25,0,0.15,N,2
21,45000,RENT,3.0,PERSONAL,A,3200,6.54,0,0.07,N,4
38,44000,RENT,0.0,PERSONAL,D,5000,15.65,1,0.11,N,14
24,34400,RENT,8.0,DEBTCONSOLIDATION,D,14000,16.0,1,0.41,Y,3
31,275000,MORTGAGE,9.0,PERSONAL,C,25000,13.85,0,0.09,N,6
22,45000,RENT,6.0,EDUCATION,A,12000,6.62,0,0.27,N,2
27,65000,RENT,12.0,MEDICAL,C,5000,13.99,0,0.08,Y,7
21,27024,RENT,4.0,EDUCATION,A,8000,8.49,0,0.3,N,3
30,61800,MORTGAGE,6.0,DEBTCONSOLIDATION,B,20000,11.36,0,0.32,N,8
27,72250,MORTGAGE,11.0,MEDICAL,D,10000,14.83,1,0.12,Y,6
27,50000,RENT,4.0,PERSONAL,C,6400,13.23,0,0.13,Y,5
41,85000,RENT,5.0,PERSONAL,C,3000,13.49,0,0.04,N,17
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
23,29120,OWN,0.0,EDUCATION,A,6400,8.94,0,0.22,N,4
24,38400,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000,10.99,0,0.26,N,2
29,66901,MORTGAGE,13.0,MEDICAL,C,9475,,0,0.14,N,10
23,95000,MORTGAGE,7.0,EDUCATION,A,35000,7.9,0,0.37,N,4
23,45312,RENT,3.0,EDUCATION,A,13500,7.88,0,0.3,N,3
37,39960,OWN,21.0,PERSONAL,A,5600,6.54,0,0.14,N,16
35,102000,RENT,3.0,HOMEIMPROVEMENT,C,20000,13.85,0,0.2,N,10
25,83400,MORTGAGE,2.0,DEBTCONSOLIDATION,C,10000,13.11,0,0.12,N,3
23,50000,RENT,0.0,EDUCATION,A,3000,6.91,0,0.06,N,2
34,138000,MORTGAGE,14.0,MEDICAL,B,25000,11.12,0,0.18,N,6
23,85000,MORTGAGE,2.0,EDUCATION,A,5000,5.42,0,0.06,N,2
25,55000,RENT,3.0,DEBTCONSOLIDATION,B,1200,11.58,0,0.02,N,4
49,80000,RENT,0.0,HOMEIMPROVEMENT,A,4800,7.88,0,0.06,N,15
23,30000,RENT,0.0,MEDICAL,B,4000,10.36,0,0.13,N,4
39,45500,RENT,4.0,PERSONAL,D,10000,16.29,0,0.22,N,15
26,50000,OWN,4.0,HOMEIMPROVEMENT,C,10000,13.47,0,0.2,Y,2
22,50000,OWN,3.0,EDUCATION,A,5000,7.29,0,0.1,N,4
30,60000,MORTGAGE,13.0,VENTURE,A,12250,7.51,0,0.2,N,6
23,65748,MORTGAGE,6.0,EDUCATION,A,8800,9.63,0,0.13,N,3
25,60000,MORTGAGE,2.0,MEDICAL,B,12500,11.49,0,0.21,N,2
39,110000,RENT,5.0,HOMEIMPROVEMENT,C,4500,13.49,0,0.04,N,11
26,26000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,12000,,0,0.46,N,3
28,56000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,15000,7.49,0,0.27,N,9
31,35000,MORTGAGE,15.0,PERSONAL,A,8000,5.42,0,0.23,N,9
35,44000,RENT,8.0,DEBTCONSOLIDATION,A,10000,6.54,0,0.23,N,6
27,48000,RENT,5.0,VENTURE,B,12000,11.71,0,0.25,N,6
22,85000,MORTGAGE,4.0,VENTURE,A,12000,6.91,0,0.14,N,3
23,78000,RENT,7.0,DEBTCONSOLIDATION,A,8100,7.29,0,0.1,N,2
23,45000,RENT,2.0,VENTURE,A,6575,8.0,0,0.15,N,3
22,30000,RENT,4.0,VENTURE,A,9875,7.29,1,0.33,N,3
24,54000,RENT,7.0,MEDICAL,A,8000,7.88,0,0.15,N,3
33,45000,RENT,2.0,PERSONAL,C,8000,12.53,0,0.18,N,6
25,85000,RENT,3.0,DEBTCONSOLIDATION,B,20000,10.25,0,0.24,N,3
27,49600,RENT,2.0,VENTURE,D,8400,,1,0.17,Y,5
26,73000,MORTGAGE,10.0,EDUCATION,A,10625,6.03,0,0.15,N,4
22,54000,RENT,4.0,EDUCATION,E,5000,16.35,1,0.09,Y,3
24,77000,MORTGAGE,2.0,EDUCATION,B,3850,11.11,0,0.05,N,2
26,69000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,,1,0.36,N,3
30,80000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,11000,,0,0.14,N,6
24,52000,RENT,2.0,MEDICAL,A,5600,7.29,0,0.11,N,2
30,29102,RENT,2.0,VENTURE,A,3000,7.9,0,0.1,N,9
22,74800,RENT,3.0,MEDICAL,D,20000,14.96,1,0.23,Y,4
29,72500,RENT,1.0,PERSONAL,A,7000,7.29,0,0.1,N,5
22,37500,RENT,4.0,PERSONAL,C,5000,11.03,0,0.13,Y,3
28,168000,OWN,12.0,MEDICAL,A,6800,,0,0.04,N,7
29,70004,RENT,0.0,EDUCATION,B,12500,8.88,0,0.18,N,7
23,70560,RENT,1.0,MEDICAL,A,9600,7.9,0,0.14,N,4
30,265000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,24000,14.96,0,0.09,Y,7
26,56000,RENT,6.0,DEBTCONSOLIDATION,C,8150,12.87,0,0.15,N,2
35,20000,RENT,1.0,MEDICAL,B,5500,12.69,0,0.28,N,9
23,92000,RENT,2.0,EDUCATION,A,4000,5.42,0,0.04,N,2
29,200000,RENT,4.0,PERSONAL,A,5000,7.43,0,0.03,N,10
24,35500,RENT,3.0,PERSONAL,A,16000,,1,0.45,N,4
24,72000,RENT,8.0,PERSONAL,C,3200,13.92,0,0.04,N,3
23,38000,RENT,4.0,VENTURE,A,1500,8.32,0,0.04,N,3
33,40000,RENT,0.0,DEBTCONSOLIDATION,A,6000,7.51,0,0.15,N,6
42,80000,MORTGAGE,8.0,PERSONAL,B,5000,11.99,0,0.06,N,17
22,16200,OWN,6.0,PERSONAL,B,2000,12.42,0,0.12,N,3
36,60000,MORTGAGE,2.0,VENTURE,C,8000,13.92,0,0.13,Y,14
22,80000,RENT,4.0,PERSONAL,A,7000,7.51,0,0.09,N,2
28,85000,MORTGAGE,5.0,EDUCATION,D,16800,16.49,0,0.2,N,8
31,27600,RENT,16.0,DEBTCONSOLIDATION,A,13000,6.54,1,0.47,N,9
28,45996,OTHER,12.0,VENTURE,B,5500,10.2,0,0.12,N,10
28,38100,RENT,6.0,DEBTCONSOLIDATION,B,4800,9.63,1,0.13,N,10
28,55000,RENT,6.0,MEDICAL,C,12000,14.27,0,0.22,Y,10
25,50400,OWN,0.0,HOMEIMPROVEMENT,D,6000,14.59,0,0.12,N,2
30,27996,RENT,9.0,MEDICAL,C,1500,,0,0.05,Y,8
31,95000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,25000,10.08,0,0.26,N,6
26,92500,RENT,3.0,DEBTCONSOLIDATION,B,12000,11.71,0,0.13,N,3
26,87800,MORTGAGE,5.0,EDUCATION,A,12000,5.79,0,0.14,N,4
46,48956,RENT,0.0,MEDICAL,B,2800,10.59,0,0.06,N,14
28,114000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,,0,0.11,N,5
27,70000,MORTGAGE,0.0,MEDICAL,B,33000,,0,0.47,N,7
28,68000,RENT,2.0,EDUCATION,B,14800,9.99,0,0.22,N,9
23,48000,RENT,7.0,PERSONAL,C,7200,14.27,0,0.15,Y,3
23,59000,RENT,4.0,PERSONAL,A,14400,8.9,0,0.24,N,3
40,75000,RENT,6.0,EDUCATION,A,15000,7.29,0,0.2,N,11
26,175000,RENT,2.0,VENTURE,B,17000,9.88,0,0.1,N,3
26,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8000,,0,0.11,N,2
26,52000,RENT,6.0,MEDICAL,E,4800,17.99,1,0.09,N,4
26,55000,MORTGAGE,10.0,VENTURE,A,12500,8.94,0,0.23,N,2
21,35000,OWN,2.0,VENTURE,D,7000,14.59,0,0.2,N,3
23,76000,RENT,7.0,MEDICAL,B,20000,10.37,0,0.26,N,3
21,30000,RENT,2.0,PERSONAL,D,5000,14.96,1,0.17,N,2
26,51000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,7.74,0,0.2,N,3
29,8500,RENT,7.0,VENTURE,A,4500,8.63,1,0.53,N,10
25,57996,RENT,4.0,DEBTCONSOLIDATION,B,9000,11.83,0,0.16,N,4
33,75000,MORTGAGE,13.0,MEDICAL,B,25000,10.65,0,0.33,N,7
24,65000,MORTGAGE,1.0,EDUCATION,A,8500,7.51,0,0.13,N,2
29,120000,OWN,11.0,PERSONAL,D,5000,14.09,0,0.04,Y,5
25,150000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,25000,10.25,0,0.17,N,4
23,75000,RENT,0.0,PERSONAL,C,15000,13.57,1,0.2,Y,3
27,108000,RENT,4.0,DEBTCONSOLIDATION,B,6000,10.65,0,0.06,N,7
32,29100,MORTGAGE,3.0,MEDICAL,D,10000,15.95,1,0.34,Y,9
22,65496,RENT,6.0,VENTURE,B,10000,11.11,0,0.15,N,4
22,30000,RENT,0.0,MEDICAL,A,7000,8.9,0,0.23,N,4
25,31000,RENT,0.0,PERSONAL,A,5000,8.94,0,0.16,N,2
22,58800,MORTGAGE,6.0,EDUCATION,B,5100,10.99,0,0.09,N,4
27,57240,OWN,4.0,VENTURE,B,15000,11.99,0,0.26,N,6
27,52500,RENT,7.0,PERSONAL,A,11425,7.51,0,0.22,N,7
30,100800,MORTGAGE,5.0,VENTURE,B,22000,12.42,0,0.22,N,7
30,67092,RENT,0.0,PERSONAL,C,9000,12.87,0,0.13,Y,9
40,120000,MORTGAGE,2.0,VENTURE,B,17000,10.51,0,0.14,N,15
34,68340,MORTGAGE,9.0,HOMEIMPROVEMENT,B,25000,10.99,0,0.37,N,10
45,140000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,7500,6.62,0,0.05,N,15
34,48000,RENT,4.0,DEBTCONSOLIDATION,B,10800,10.99,0,0.23,N,7
31,62000,MORTGAGE,4.0,MEDICAL,A,6550,5.79,0,0.11,N,10
42,30000,RENT,5.0,VENTURE,D,8000,14.96,0,0.27,Y,12
26,82400,RENT,10.0,VENTURE,C,2500,13.92,0,0.03,N,3
34,109200,MORTGAGE,18.0,EDUCATION,C,6000,12.23,0,0.05,Y,5
62,66000,RENT,2.0,EDUCATION,B,6000,,0,0.09,N,23
21,19000,OWN,5.0,MEDICAL,A,6000,8.49,1,0.32,N,3
23,48800,RENT,3.0,EDUCATION,B,15000,11.36,1,0.31,N,4
26,80000,MORTGAGE,2.0,HOMEIMPROVEMENT,C,4200,14.27,0,0.05,N,4
27,45000,MORTGAGE,2.0,MEDICAL,A,10000,6.17,0,0.22,N,9
25,65000,RENT,6.0,PERSONAL,D,7675,15.33,0,0.12,Y,3
26,65000,RENT,5.0,DEBTCONSOLIDATION,B,3200,11.71,0,0.05,N,3
31,36000,RENT,14.0,EDUCATION,C,7000,13.72,0,0.19,N,8
46,72194,RENT,8.0,PERSONAL,B,17000,8.88,0,0.24,N,15
24,82000,MORTGAGE,2.0,MEDICAL,A,20000,6.54,0,0.24,N,4
24,35000,MORTGAGE,8.0,VENTURE,B,2000,10.37,0,0.06,N,2
22,36250,RENT,6.0,EDUCATION,C,6000,14.22,0,0.17,Y,3
35,100000,MORTGAGE,19.0,MEDICAL,B,9000,10.99,0,0.09,N,8
24,49200,OWN,8.0,EDUCATION,C,4000,13.06,0,0.08,N,4
28,50000,OWN,3.0,HOMEIMPROVEMENT,D,8500,14.83,0,0.17,Y,5
39,38604,RENT,9.0,MEDICAL,B,9500,10.62,0,0.25,N,11
22,60000,MORTGAGE,6.0,EDUCATION,B,3950,10.65,0,0.07,N,2
29,25000,RENT,0.0,PERSONAL,B,4125,11.71,0,0.17,N,6
28,56000,RENT,7.0,EDUCATION,F,20000,18.25,1,0.36,N,6
43,35300,MORTGAGE,5.0,MEDICAL,B,10000,10.25,0,0.28,N,13
24,17616,RENT,,VENTURE,B,2000,10.37,0,0.11,N,2
31,38400,OWN,,EDUCATION,D,11000,,0,0.29,Y,8
26,38832,RENT,0.0,DEBTCONSOLIDATION,B,10000,10.37,0,0.26,N,2
27,35000,RENT,3.0,EDUCATION,B,10000,9.88,0,0.29,N,9
24,90000,RENT,0.0,DEBTCONSOLIDATION,B,5000,10.59,0,0.06,N,2
22,41000,RENT,2.0,DEBTCONSOLIDATION,D,3600,16.77,1,0.09,Y,3
28,68666,RENT,7.0,DEBTCONSOLIDATION,B,21000,12.69,1,0.31,N,8
24,40000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.12,0,0.09,N,3
23,42000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,11000,7.88,0,0.26,N,2
40,30996,RENT,2.0,MEDICAL,C,1500,13.72,1,0.05,Y,14
27,33500,RENT,0.0,MEDICAL,B,2100,12.21,0,0.06,N,9
23,43000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7200,10.59,0,0.17,N,3
26,51500,MORTGAGE,3.0,HOMEIMPROVEMENT,D,9600,15.21,0,0.19,Y,4
24,46000,MORTGAGE,6.0,DEBTCONSOLIDATION,D,12000,14.83,1,0.26,Y,3
26,19200,OWN,7.0,PERSONAL,A,4500,7.88,1,0.23,N,3
30,66000,MORTGAGE,15.0,VENTURE,B,15000,11.14,0,0.23,N,8
28,50000,MORTGAGE,3.0,VENTURE,A,5000,7.74,0,0.1,N,9
22,39996,RENT,3.0,VENTURE,A,11000,5.79,0,0.28,N,2
24,30000,RENT,1.0,PERSONAL,B,3000,10.37,0,0.1,N,2
27,21112,RENT,0.0,PERSONAL,D,3600,15.99,1,0.17,Y,10
24,40000,RENT,5.0,DEBTCONSOLIDATION,B,10000,11.99,0,0.25,N,3
24,22320,OWN,4.0,MEDICAL,E,1000,16.32,1,0.04,N,2
23,59497,RENT,0.0,MEDICAL,E,20000,16.0,1,0.29,N,3
22,70500,RENT,1.0,VENTURE,B,5000,11.14,0,0.07,N,4
28,84000,RENT,1.0,PERSONAL,B,12000,11.71,0,0.14,N,8
22,54000,RENT,6.0,MEDICAL,D,7000,14.96,1,0.13,Y,4
22,15000,RENT,6.0,MEDICAL,A,6000,6.03,1,0.4,N,3
25,69000,MORTGAGE,5.0,PERSONAL,B,20000,10.75,0,0.29,N,2
24,30000,RENT,0.0,MEDICAL,C,4600,,0,0.15,Y,2
46,81000,MORTGAGE,1.0,EDUCATION,B,7000,9.45,1,0.09,N,14
34,102000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,7200,13.49,1,0.07,N,5
26,44400,MORTGAGE,,VENTURE,C,6500,14.35,0,0.15,N,2
26,80004,MORTGAGE,4.0,PERSONAL,B,15000,11.86,0,0.19,N,3
26,30000,OWN,0.0,HOMEIMPROVEMENT,C,15000,13.22,0,0.5,Y,2
23,60000,RENT,4.0,EDUCATION,D,14000,14.84,0,0.23,Y,3
21,146000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,4000,13.72,0,0.03,N,2
38,86760,MORTGAGE,,PERSONAL,D,5000,15.58,0,0.06,N,12
21,18000,RENT,5.0,MEDICAL,B,1500,12.18,1,0.08,N,3
31,99000,RENT,15.0,DEBTCONSOLIDATION,C,12000,14.26,0,0.12,Y,10
24,36000,RENT,2.0,VENTURE,D,8000,14.96,1,0.22,Y,2
23,50000,RENT,5.0,EDUCATION,B,10000,9.63,0,0.2,N,3
23,52000,RENT,0.0,VENTURE,B,9000,12.69,0,0.17,N,2
22,60000,OWN,6.0,EDUCATION,A,14000,7.88,0,0.23,N,2
29,139500,MORTGAGE,4.0,HOMEIMPROVEMENT,A,15000,,0,0.11,N,5
22,70500,RENT,3.0,PERSONAL,C,21000,13.98,0,0.3,Y,4
31,78504,RENT,2.0,EDUCATION,C,10000,11.41,0,0.13,N,7
27,45000,OWN,5.0,EDUCATION,C,15250,13.98,0,0.34,N,10
24,67600,RENT,7.0,HOMEIMPROVEMENT,D,10000,16.02,0,0.15,Y,2
31,68000,MORTGAGE,2.0,PERSONAL,B,12000,12.69,0,0.18,N,9
33,144000,MORTGAGE,1.0,MEDICAL,A,5000,8.9,0,0.03,N,10
